profile_url,name,country,gender,open_2025_rank_worldwide,backsquat,chad1000x,cleanandjerk,deadlift,fightgonebad,filthy50,fran,grace,helen,l1benchmark,maxpullups,murph,run5k,snatch,sprint400m
https://games.crossfit.com/athlete/2171106,Sergio Martin,Spain,Men,992,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/34197,Brice Collier,United States,Men (35-39),2517,445,,295,555,469,16:46,2:05,1:19,7:36,,57,,,245,0:59
https://games.crossfit.com/athlete/196823,Brett Reed,United States,Men,3128,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1823366,Eli Phillips,United States,Men,644,385,56:09,315,475,366,22:12,2:55,1:43,7:09,,32,44:55,16:57,237,0:52
https://games.crossfit.com/athlete/519299,Jared Meyers,United States,Men (35-39),4101,435,,307,450,,,2:23,,,,40,,20:22,247,
https://games.crossfit.com/athlete/1927210,Malo Hallier,France,Men,1710,145,,116,185,,,2:29,,,,,,,95,
https://games.crossfit.com/athlete/2262234,Bryce Edie,United States,Men,4024,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1095799,Chase Maza,United States,Men,4459,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1542031,Payton Lunsford,United States,Men,278,425,,300,465,,,,,,,,,20:59,250,
https://games.crossfit.com/athlete/2135024,Tom Gray,United Kingdom,Men,3940,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2491833,Isaac Marsh,Australia,Men,4957,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/645378,Colby Capdeville,United States,Men,1937,290,,245,350,,,3:26,,9:06,,,,,200,
https://games.crossfit.com/athlete/1145914,Zachary Massa,United States,Men,2168,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/937408,Emilio Sanchez,Honduras,Men,2163,420,,352,475,,,,,,,,,,262,
https://games.crossfit.com/athlete/1788255,Alex Taylor,United Kingdom,Men (35-39),2872,190,,140,230,,,3:10,2:02,,,,,19:32,110,
https://games.crossfit.com/athlete/2185012,Vittoriomaria Ratto,Italy,Men,2955,155,,110,150,,,,,,,,,,83,
https://games.crossfit.com/athlete/1995604,Tommaso Caceffo,Italy,Men,4552,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1765040,Christian Stickney,Canada,Men,4137,400,,290,451,,,2:46,2:06,8:29,,50,,27:15,220,
https://games.crossfit.com/athlete/2218534,Pau Martin Tiers,Spain,Boys (16-17),3469,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2012875,Zane Hatfield,United States,Men,2825,405,65:00,305,510,,,2:20,,,,47,,21:20,260,0:50
https://games.crossfit.com/athlete/2697,Aaron Scott,United Kingdom,Men (35-39),3526,360,,270,430,,,2:32,,,,,,20:28,205,
https://games.crossfit.com/athlete/751114,Marcos Vinicius Oliveira da Cunha,Brazil,Men (35-39),3339,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/873119,Joel Backs,United States,Men,3438,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/252855,Robbie Perovich,Canada,Men (45-49),2208,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/990085,Brandon Lineberry,United States,Men,4037,430,,320,545,,,2:27,1:24,,,52,,22:30,275,1:06
https://games.crossfit.com/athlete/822255,Andrea Botticelli,Italy,Men,641,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1149509,Ryan Winn,United States,Men,3418,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2827588,Callum Jay,Australia,Men,271,220,,130,,,,,,,,,,20:00,100,
https://games.crossfit.com/athlete/1310551,Adrien Beulay,France,Men (35-39),4767,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/925670,Mykhailo Domashov,Ukraine,Men (35-39),1492,192,,154,240,,,,1:49,,,30,,22:00,130,
https://games.crossfit.com/athlete/1410795,Alexandre Favette,France,Men,3948,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/211706,Joseph Zwirn,United States,Men (35-39),1474,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/318213,Richard Vint,United Kingdom,Men (45-49),1866,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1004144,Kévin Lorant,France,Men,324,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1851561,David Espinoza,Chile,Men,3666,220,,161,,,,,,,,,,,125,
https://games.crossfit.com/athlete/1966444,Sebastian Roblero,Australia,Men,1790,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1226842,David Vojtisek,Czech Republic,Men,1316,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1680904,Jack West,United Kingdom,Men,4393,202,,130,269,,,,,,,,,19:44,102,
https://games.crossfit.com/athlete/765891,Tom Commandeur,Netherlands,Men,4059,170,,122,200,,,,2:00,8:05,,,,,105,
https://games.crossfit.com/athlete/2142947,Connor Hunt,United Kingdom,Men,4460,,,,,,,3:04,2:41,,,,,,,
https://games.crossfit.com/athlete/1858114,Barnabe Boissiere,France,Men,1805,180,,140,210,,,3:45,,,,,,,106,
https://games.crossfit.com/athlete/2352178,Joshua Thomas,New Zealand,Men,1825,,,135,215,,,,,,,,40:14,21:40,102,
https://games.crossfit.com/athlete/683220,Diego Kemper,Paraguay,Men,4864,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2822886,Alkis Agatianos,Greece,Men,4380,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1054886,Juan Sebastian Guerrero,Colombia,Men,1406,505,,365,505,,,,,,,,,,275,
https://games.crossfit.com/athlete/668363,Tias Freymond,Switzerland,Men,931,164,,130,215,,,3:07,,,,,,26:00,116,
https://games.crossfit.com/athlete/1366877,Kyle Reim,United States,Men,4670,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1902735,Bruce Balcita,United States,Men,2181,405,,305,505,,,,,8:14,,,,25:42,235,
https://games.crossfit.com/athlete/1345887,Bradley Spreadborough,Australia,Men,871,220,,160,250,,,3:05,1:24,8:52,,,40:55,21:51,122,
https://games.crossfit.com/athlete/903282,Jérémy Fontaine,France,Men,4134,165,,130,200,321,,3:57,2:22,9:07,,,,20:09,98,
https://games.crossfit.com/athlete/169360,Anderon Primo,Brazil,Men,176,500,,365,555,,,2:32,1:40,,,57,,21:22,308,0:56
https://games.crossfit.com/athlete/1172702,Cameron Brown,United States,Men,2762,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/791359,Reese Langley,United States,Men,2561,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1650042,Eric Banachowski,United States,Men,2999,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2436093,Viktor Jóhannes Kristófersson,Iceland,Men,3055,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1622276,Nicky Rodgers,United States,Men,209,14,99:59,71,135,12,99:10,69:00,123:00,500:00,500:00,1,,500:00,62,5:12
https://games.crossfit.com/athlete/2212972,Kaleb Sparks,United States,Men,2888,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1478258,Mahdi Soltani,Iran,Men (35-39),3203,190,,140,200,,,,2:12,,,55,,22:20,110,1:05
https://games.crossfit.com/athlete/1381663,Jonathan Cilli,France,Men,3749,172,,130,190,,,,,,,,,,103,
https://games.crossfit.com/athlete/139178,Edwin Rhin Bourgeois,United States,Men (40-44),2780,415,,325,480,,,2:20,1:59,8:37,,76,,,260,
https://games.crossfit.com/athlete/346991,Dustin Owen,United States,Men (45-49),2558,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1267605,Facundo Marte,Argentina,Men,4913,170,,130,205,,,2:25,2:52,,,,,21:32,105,
https://games.crossfit.com/athlete/2229777,Tyler Riebock,United States,Men,809,435,,315,455,,,,,,,,,,,
https://games.crossfit.com/athlete/150368,Jeb Buffington,United States,Men (45-49),4652,445,,327,445,349,22:31,2:57,1:27,7:45,,35,45:00,22:15,245,1:02
https://games.crossfit.com/athlete/2083864,Serhii Bashkatov,Ukraine,Men (35-39),2925,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1862976,Colton Ayers,United States,Men,3815,385,58:11,305,500,,,3:23,1:52,7:59,,36,,,242,0:59
https://games.crossfit.com/athlete/468873,Josh Workman,United States,Men,309,475,,367,505,420,,1:58,,,,69,,17:47,285,0:56
https://games.crossfit.com/athlete/1376047,Dalton Jeffries,United States,Men,885,450,,336,545,,,2:32,4:26,8:40,,50,,,270,0:52
https://games.crossfit.com/athlete/13601,Kris Mccuiston,United States,Men (40-44),1212,340,,285,410,,17:40,2:20,2:35,,,103,,19:30,225,
https://games.crossfit.com/athlete/2539216,Han na mu Kim,"Korea, Republic of",Men,2847,365,,275,375,,,,,,,,,,225,
https://games.crossfit.com/athlete/2253907,Kim Dongmyeng,"Korea, Republic of",Men,2187,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/714733,Hengjia Ge,China,Men,3448,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/934637,Diogo Tavares,Portugal,Men (35-39),4012,200,,130,230,,,2:33,,,,,,17:32,105,
https://games.crossfit.com/athlete/1556330,Josh Martinez,United States,Men,4428,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/257991,Eui Seop Lee,"Korea, Republic of",Men,658,485,,345,495,,,2:05,,,,,,,280,
https://games.crossfit.com/athlete/759487,Dan Cronin,United States,Men,1175,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/456903,Dominik Kolera,Poland,Men,707,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1993541,Brode Beckwith,United States,Men,4861,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1695295,Connor Newbery,Canada,Men,545,900,,400,500,15,0:08,0:12,43:18,98:18,,1,,2:37,12,12:12
https://games.crossfit.com/athlete/2658760,Juan Pablo Lopez Estrada,Mexico,Men,3877,405,,290,425,,,,,,,,,22:22,215,
https://games.crossfit.com/athlete/779552,Clinton Morosini,Australia,Men,2200,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/982568,Jonathan Fenlon,United Kingdom,Men,3917,160,,125,200,,,,,,,,,,,
https://games.crossfit.com/athlete/2406736,Ole Bosman,Netherlands,Men,985,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/5538,Reza Mashkoori,Canada,Men (40-44),3968,405,,300,465,,,2:50,,,,,,19:12,225,0:59
https://games.crossfit.com/athlete/2076985,Jon Lewis,United States,Men,2721,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1739263,Toni Koskinen,Finland,Men,735,170,,120,210,,,,,,,,,,80,
https://games.crossfit.com/athlete/2249883,Jared Bussiere,Canada,Men,916,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2352322,Hayden Archbold,Australia,Men,2420,200,,130,210,,,,2:22,,,35,,18:10,102,1:07
https://games.crossfit.com/athlete/144790,Mathew Larson,United States,Men (40-44),4592,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/363662,Nicholas Altgilbers,United States,Men (40-44),1392,395,,305,475,380,,,1:59,,,,,18:04,235,
https://games.crossfit.com/athlete/2612423,Koen van Mierlo,Netherlands,Men,1880,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/47889,Jacob Dickinson,United States,Men (35-39),4698,405,,290,515,394,,2:59,1:56,7:51,,55,,,240,
https://games.crossfit.com/athlete/1226421,Francisco Javier Ruiz Prats,Spain,Men (35-39),2343,200,,141,200,,,,,,,,,,105,
https://games.crossfit.com/athlete/1184418,Brandon Fontenot,United States,Men (45-49),4469,405,,305,475,,,,,,,,,,245,
https://games.crossfit.com/athlete/2171050,Jun young Bae,"Korea, Republic of",Men,2763,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/267816,Thomas Barrick,United States,Men (35-39),1386,480,,360,525,,,,1:48,,,,,,285,
https://games.crossfit.com/athlete/526066,Alexandre Scatena,Brazil,Men (40-44),1266,206,,145,222,,,2:43,1:59,,,40,,,109,
