profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,snatch,fran,maxpull-ups,run5k,fightgonebad,filthy50,grace,helen,sprint400m,murph,chad1000x,l1benchmark,runrowrunrx,run400m,runrowrunsprint,runrowrunscaled
https://games.crossfit.com/athlete/789295,Mohamad El kadi,Brazil,Men (35-39),455,354,495,286,,,19:50,,,,,,,60:30,,,,,
https://games.crossfit.com/athlete/2432146,Dainier Lanzaque,United States,Men,475,315,525,235,,60,21:00,,,,,0:50,48:00,,,,,,
https://games.crossfit.com/athlete/1969427,Ricardo García,Mexico,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/482776,YongKi Park,"Korea, Republic of",Men (35-39),455,335,500,255,2:08,50,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1974464,Cody Rice,United States,Men,405,295,445,245,,,18:36,,,,,,,,,,,,
https://games.crossfit.com/athlete/506165,Cullen Ralphs,United States,Men,445,335,475,260,2:03,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2072380,Phillip Wideska,United States,Men,365,255,405,205,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1955963,Brian Delligatta,United States,Men,405,325,525,260,2:24,,19:25,,,1:05,,,,,,,,,
https://games.crossfit.com/athlete/1152479,Nyko Flores,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/104278,Amir Khan,United Kingdom,Men (35-39),190,146,243,113,,40,21:07,351,,1:55,8:04,0:57,,,,,,,
https://games.crossfit.com/athlete/97696,Anthony Grecco,United States,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1878233,Miguel Sérgio,Portugal,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/687597,Magnus Lunander,Sweden,Men,170,136,215,106,,,20:23,,,,,,,,,,,,
https://games.crossfit.com/athlete/188180,Kelly Davis,United States,Men (40-44),,,,210,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2150897,Jack Lydon,United Kingdom,Boys (16-17),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/248045,Marc Blesa,Spain,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/101748,Petter Maansson,Sweden,Men (35-39),150,130,205,105,3:27,32,19:51,,,,,,,,,,,,
https://games.crossfit.com/athlete/1456978,Sebastian Nykvist,Sweden,Men,,,,,,,29:56,,,,,,46:23,,,,,,
https://games.crossfit.com/athlete/315944,Isaac Farias,Mexico,Men,405,305,500,245,,50,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1578350,Baptiste Genet,France,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1230001,Steve Riley,United States,Men (35-39),335,235,405,185,2:13,,19:46,,,2:00,9:00,,,,,,,,
https://games.crossfit.com/athlete/814151,Luiz Bombacini,Brazil,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2252678,Paul Zeyringer,Austria,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1065079,Renz van Haandel,Netherlands,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/269207,Jonathan Dube,Canada,Men,455,335,515,265,1:55,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1090431,Chang Hee Woo,"Korea, Republic of",Men (35-39),388,305,445,245,2:56,63,17:40,386,,2:23,,1:32,,,,,,,
https://games.crossfit.com/athlete/917910,Tony Bredelet,France,Men (35-39),170,,,,2:09,72,15:52,,,,,0:50,32:30,,,,,,
https://games.crossfit.com/athlete/686110,Gabi Castro,Spain,Men,165,120,195,100,,,20:52,,,,,1:11,,,,,,,
https://games.crossfit.com/athlete/2614829,Miguel Mancera Llorente,Spain,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1336944,Carlos Pineda,Mexico,Men,425,335,500,245,,50,25:09,,,,,1:15,,,,,,,
https://games.crossfit.com/athlete/1958568,Lucas Dutrey,France,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1494869,Ben Wieczorek,Australia,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/267027,Dre Strohm,United States,Men,475,340,565,280,2:07,,20:23,,,,,0:50,,,,,,,
https://games.crossfit.com/athlete/2689179,Ryan Mickelson,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/116885,Hamilton Brodnax,United States,Men,515,365,600,285,2:07,,,,,,7:45,,,,,,,,
https://games.crossfit.com/athlete/874857,Ethan Wasil,United States,Men,275,230,385,150,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/419864,Romain Piegay,France,Men,170,135,220,113,2:09,60,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1543878,Nolan Russell,United States,Men,425,300,535,235,3:00,40,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1446697,Shane Caswell,United Kingdom,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1391569,Billy Gray,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/924517,Marcos Dapkey,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1336593,Dan Winning,Australia,Men (45-49),3,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1935576,Jackson Henkle,United States,Men,385,311,455,260,,55,,,,,,,,,,,,,
https://games.crossfit.com/athlete/617809,Lars Rudi,Norway,Men,190,131,200,107,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1463940,Amit Biton,Israel,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/624677,Jamie Cantwell,United Kingdom,Men (35-39),200,145,250,120,,,,,,1:26,,,,,,,,,
https://games.crossfit.com/athlete/919927,Michael Greentree,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/247585,Ben Van Haesendonck,Belgium,Men,130,108,155,78,2:50,39,,,,,,,,,,,,,
https://games.crossfit.com/athlete/105458,Gabriel Bussieres,Canada,Men,425,325,,265,2:10,,19:30,,,,,,,,,,,,
https://games.crossfit.com/athlete/449800,Tati Oroña,Spain,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1467167,Hyeon min Kim,"Korea, Republic of",Men,445,,525,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/299916,Jared Lovett,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/174239,Jean-Philip Leclerc,Canada,Men,450,350,515,250,2:11,54,19:45,400,22:45,2:20,,0:57,40:30,49:31,,,,,
https://games.crossfit.com/athlete/1366111,Damian Paris,Spain,Men (35-39),170,118,190,90,2:09,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1006989,Vincent Jeammet,France,Men (35-39),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1740442,Romain Vacca,Australia,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2836172,Lefteris Pittas,Greece,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1161169,Ronny Gudmestad,Norway,Men (40-44),166,111,195,90,3:30,28,19:57,,,2:27,6:59,1:13,44:37,,,,,,
https://games.crossfit.com/athlete/718995,Franco Emanuel Oroná,Argentina,Men,190,150,210,120,3:36,30,23:15,,30:00,,,1:23,,,,,,,
https://games.crossfit.com/athlete/253151,David Johnston,United States,Men (45-49),445,330,510,262,2:14,32,21:34,,,,,,,,,,,,
https://games.crossfit.com/athlete/500176,Taylor King,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/368692,Carlos Ivan Fernandez,Spain,Men (40-44),165,130,205,100,2:14,63,,,,2:04,,1:12,,,,,,,
https://games.crossfit.com/athlete/1664146,James Barber,United Kingdom,Men,185,145,230,113,,,21:32,,,,,,52:55,,,,,,
https://games.crossfit.com/athlete/2326221,Youngmin Lee,"Korea, Republic of",Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1869552,Ciro Maurício,Brazil,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1247689,Rocky Gagne,Canada,Men (40-44),,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1268199,Jason Harper,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1214599,Stone Pellegrino,United States,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1122393,Jorge Marin,Mexico,Men,,,,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1842246,Jack Fleming,Australia,Men,,,,,,,,,,,,,,,,,,,
