profile_url,name,country,gender,backsquat,cleanandjerk,deadlift,grace,snatch,fran,maxpull-ups,fightgonebad,filthy50,helen,run5k,chad1000x,sprint400m,l1benchmark,murph,run400m
https://games.crossfit.com/athlete/1551296,Korby Foxall,United States,Men,495,340,560,,270,,,,,7:24,,,0:57,,,
https://games.crossfit.com/athlete/1951636,Cemkan Tunga,Turkey,Men,,,,,,,,,,,,6:00,,,,
https://games.crossfit.com/athlete/1505938,Sean Colgan,United States,Men,455,326,525,,245,2:36,,,,,19:30,,1:22,,42:39,
https://games.crossfit.com/athlete/1780774,JiangHong Zhu,China,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/737507,Sergey Krys,Ukraine,Men (40-44),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1110590,Wyatt Taylor,Canada,Men,475,375,600,,300,,51,,,,23:30,,,,,
https://games.crossfit.com/athlete/1950262,Maguire Nickerson,Canada,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1772337,Drake Lewis,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/512990,Aingeru Setien,Spain,Men (35-39),,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1121497,Asier Moreno,Spain,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1069764,Dylan Leary,Australia,Men,170,115,200,,,,,,,7:51,19:01,,,,,
https://games.crossfit.com/athlete/1174315,Zachary Terefenko,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/838403,Hayden Weddle,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/22689,Kevin Schuetz,United States,Men (35-39),450,350,585,1:39,305,2:05,54,,,7:41,21:53,,,,,
https://games.crossfit.com/athlete/923468,Tiago Luzes,Portugal,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1670203,Adrualdo Junior,Brazil,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2152429,Carlos Ferrara Coloma,Spain,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1667025,Lucas Amantia,Argentina,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/2097238,Kyle Edwards,Australia,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1930181,Diogo Pereira,Portugal,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1222942,Inhwan Cha,"Korea, Republic of",Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/965772,Bailey MacDonald,Canada,Men,2,1,5,,10,2:20,,,,,,,,,,
https://games.crossfit.com/athlete/538401,Victor Ventura Costa,Spain,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1964764,Sean Freeman,United States,Men,,,,,,,,,,,,,,,,
https://games.crossfit.com/athlete/1827696,Jaden Robinson,Canada,Men,,,,,,,,,,,,,,,,
